wallet_id,total_tx,total_value,avg_value,total_gas,avg_gas,total_cumulative_gas,avg_cumulative_gas,block_range,nonce_range,active_days
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,1946,8.549214778133612e+21,4.393224449195074e+18,961493977.0,494087.3468653649,12120162272.0,6228243.716341212,15823280,4250866,2513.0240046296294
0x06b51c6882b27cb05e712185531c1f74996dd988,4,2.430185e+16,6075462500000000.0,365024.0,91256.0,38704771.0,9676192.75,30,2,0.004895833333333334
0x0795732aacc448030ef374374eaae57d2965c16c,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,17353742.0,5784580.666666667,135,1,0.02277777777777778
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,24,2.0178349488453268e+20,8.407645620188863e+18,3475668.0,144819.5,211671383.0,8819640.958333334,12541462,20,1879.4619791666667
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,4,2.6004691e+16,6501172750000000.0,365024.0,91256.0,27570485.0,6892621.25,416015,2,63.88224537037037
0x104ae61d8d487ad689969a17807ddc338b445416,5,9.608856676e+17,1.9217713352e+17,386024.0,77204.8,40074417.0,8014883.4,4504671,2,698.1034953703704
0x111c7208a7e2af345d36b6d4aace8740d61a3078,5,2.9013191e+16,5802638200000000.0,587943.0,117588.6,31706149.0,6341229.8,215,3,0.03263888888888889
0x124853fecb522c57d9bd5c21231058696ca6d596,6,3.4272474e+16,5712079000000000.0,780578.0,130096.33333333333,47618236.0,7936372.666666667,143,4,0.023055555555555555
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,3,1.6e+16,5333333333333333.0,344024.0,114674.66666666667,19458807.0,6486269.0,22,1,0.00400462962962963
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,120,2.6e+19,2.1666666666666666e+17,46941497.0,391179.14166666666,866219469.0,7218495.575,758180,833,117.01118055555555
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,4,3866200000000000.0,966550000000000.0,346040.0,86510.0,38163848.0,9540962.0,139642,754996,21.695219907407406
0x19df3e87f73c4aaf4809295561465b993e102668,16,1.413276436288313e+17,8832977726801956.0,3359536.0,209971.0,146243827.0,9140239.1875,14305459,12,2125.340150462963
0x1ab2ccad4fc97c9968ea87d4435326715be32872,4,2.8135932e+16,7033983000000000.0,365024.0,91256.0,26446657.0,6611664.25,76,2,0.01
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,115,2.0996132970833917e+18,1.825750693115993e+16,10661336.0,92707.26956521739,793697091.0,6901713.834782609,1708631,2008208,264.25111111111113
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,2,2.91310133e+16,1.456550665e+16,188777.0,94388.5,9645381.0,4822690.5,232,0,0.03837962962962963
0x22d7510588d90ed5a87e0f838391aaafa707c34b,2,6.188685182e+17,3.094342591e+17,51244.0,25622.0,8188622.0,4094311.0,365160,3,56.50681712962963
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,21,4.353785830913218e+17,2.0732313480539132e+16,2947021.0,140334.33333333334,155699984.0,7414284.952380952,1050236,18,161.94472222222223
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,6,4.78233476e+16,7970557933333333.0,1857786.0,309631.0,28921790.0,4820298.333333333,3056982,3,480.93677083333336
0x27f72a000d8e9f324583f3a3491ea66998275b28,4,3.1233925e+16,7808481250000000.0,365024.0,91256.0,33286462.0,8321615.5,52723,2,8.097291666666667
0x2844658bf341db96aa247259824f42025e3bcec2,3,1.6e+16,5333333333333333.0,344024.0,114674.66666666667,15137011.0,5045670.333333333,4386,1,0.6747337962962963
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,4,3.33417187e+16,8335429675000000.0,365024.0,91256.0,27797185.0,6949296.25,158,2,0.023842592592592592
0x330513970efd9e8dd606275fb4c50378989b3204,104,7.2697130970990445e+19,6.99010874721062e+17,19717172.0,189588.1923076923,766638739.0,7371526.336538462,12307268,3140618,1845.7190972222222
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,99,2.2868690741063978e+20,2.3099687617236337e+18,10702063.0,108101.64646464646,483577309.0,4884619.282828283,3893503,3597717,628.681875
0x3867d222ba91236ad4d12c31056626f9e798629c,3,1.6e+16,5333333333333333.0,344024.0,114674.66666666667,24737026.0,8245675.333333333,80,1,0.012002314814814815
0x3a44be4581137019f83021eeee72b7dc57756069,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,23853890.0,7951296.666666667,16,1,0.0032523148148148147
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,26218720.0,8739573.333333334,2910,1,0.4510763888888889
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,169,4.444152250841007e+19,2.6296758880716016e+17,55803991.0,330201.1301775148,1296065448.0,7669026.319526628,13097240,3596666,1956.7788657407407
0x4814be124d7fe3b240eb46061f7ddfab468fe122,211,1.213615013791823e+19,5.751729923183995e+16,47382865.0,224563.34123222748,1454689317.0,6894262.165876777,994447,190,152.8228125
0x4839e666e2baf12a51bf004392b35972eeddeabf,15,1.936281355e+18,1.2908542366666667e+17,1657067.0,110471.13333333333,101520955.0,6768063.666666667,324387,3893595,49.84381944444444
0x4c4d05fe859279c91b074429b5fc451182cec745,3,2.01884992e+16,6729499733333333.0,255613.0,85204.33333333333,33808688.0,11269562.666666666,1467251,1,226.73553240740742
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,252,2.3530780065714237e+19,9.337611137188186e+16,35169109.0,139559.95634920636,1719717917.0,6824277.448412699,7892051,2406054,1270.6581828703704
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,4,2.365576e+16,5913940000000000.0,365024.0,91256.0,27408380.0,6852095.0,50538,2,7.76
0x4e61251336c32e4fe6bfd5fab014846599321389,4,2.2191884e+16,5547971000000000.0,365024.0,91256.0,25636693.0,6409173.25,1057554,2,162.80391203703704
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,4,1.86e+16,4650000000000000.0,421769.0,105442.25,35633120.0,8908280.0,1219112,2,187.46631944444445
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,38,3.948900016833804e+17,1.0391842149562642e+16,2764402.0,72747.42105263157,388016037.0,10210948.342105264,7181513,5574210,1055.106238425926
0x54e19653be9d4143b08994906be0e27555e8834d,6,0.0,0.0,2875000.0,479166.6666666667,20491115.0,3415185.8333333335,210,5,0.032268518518518516
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,4,2.886863e+16,7217157500000000.0,365024.0,91256.0,38105463.0,9526365.75,256305,2,39.35228009259259
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,4,3.01149208e+16,7528730200000000.0,365024.0,91256.0,20011787.0,5002946.75,833275,2,128.0289236111111
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,10,3.7946163911712045e+17,3.794616391171204e+16,491024.0,49102.4,111054736.0,11105473.6,7820953,4658352,1165.4226041666666
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,4,2.845545335085414e+16,7113863337713535.0,365024.0,91256.0,32149948.0,8037487.0,976379,2,150.07059027777777
0x58d68d4bcf9725e40353379cec92b90332561683,47,1.1659144403706975e+18,2.4806690220653132e+16,5391713.0,114717.29787234042,494110028.0,10512979.319148935,10299422,4889234,1510.1878125
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,13930087.0,4643362.333333333,24,1,0.0038888888888888888
0x612a3500559be7be7703de6dc397afb541a16f7f,112,2.500782578939985e+19,2.2328415883392723e+17,13327254.0,118993.33928571429,1079216768.0,9635864.0,5051931,141,775.9912384259259
0x623af911f493747c216ad389c7805a37019c662d,28,1.09751736454e+21,3.919704873357143e+19,2268199.0,81007.10714285714,142595572.0,5092699.0,15237926,4073897,2344.639849537037
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,15,1.925713329699542e+18,1.2838088864663613e+17,1511489.0,100765.93333333333,162258899.0,10817259.933333334,9000148,5865989,1327.9187731481481
0x6d69ca3711e504658977367e13c300ab198379f1,4,3.0379562e+16,7594890500000000.0,365024.0,91256.0,27798379.0,6949594.75,127726,2,19.595613425925926
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,11,7.4192321e+16,6744756454545455.0,994963.0,90451.18181818182,49129421.0,4466311.0,38493,7,5.907881944444444
0x70c1864282599a762c674dd9d567b37e13bce755,4,3.13858e+16,7846450000000000.0,365024.0,91256.0,30809301.0,7702325.25,253968,2,39.012430555555554
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,523,1.278564696619866e+19,2.4446743721221148e+16,184682954.0,353122.2829827916,2916826803.0,5577106.69789675,7907360,1907688,1221.1720949074074
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,17266457.0,5755485.666666667,52,1,0.006701388888888889
0x767055590c73b7d2aaa6219da13807c493f91a20,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,24727118.0,8242372.666666667,16,1,0.0019675925925925924
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,5,1e+19,2e+18,1156318.0,231263.6,33985453.0,6797090.6,612115,92,94.37864583333334
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,8,4.03502722e+16,5043784025000000.0,569432.0,71179.0,59374780.0,7421847.5,696659,5,107.01557870370371
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,6,2.9606237095573092e+16,4934372849262182.0,732103.0,122017.16666666667,52364155.0,8727359.166666666,10307,4,1.593888888888889
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,3,3.09126855e+16,1.03042285e+16,356554.0,118851.33333333333,23580457.0,7860152.333333333,130,1,0.021828703703703704
0x7de76a449cf60ea3e111ff18b28e516d89532152,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,21492163.0,7164054.333333333,30,1,0.005208333333333333
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,11,3.95733e+18,3.597572727272727e+17,2760458.0,250950.72727272726,61284642.0,5571331.090909091,4820490,230437,771.1769560185185
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,3,1.6e+16,5333333333333333.0,344024.0,114674.66666666667,15238834.0,5079611.333333333,3676,1,0.5563078703703703
0x83ea74c67d393c6894c34c464657bda2183a2f1a,4,3.27753927e+16,8193848175000000.0,365024.0,91256.0,26461092.0,6615273.0,76,2,0.012523148148148148
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,19,2.617231718577633e+18,1.3774903781987541e+17,1764376.0,92861.8947368421,179555694.0,9450299.684210526,10571064,12423276,1554.4949652777777
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,31341312.0,10447104.0,12084,1,1.8636342592592592
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,4,3.36186005e+16,8404650125000000.0,365024.0,91256.0,23343157.0,5835789.25,80,2,0.012222222222222223
0x880a0af12da55df1197f41697c1a1b61670ed410,15,1.6334551194505405e+17,1.0889700796336936e+16,1334728.0,88981.86666666667,75307156.0,5020477.066666666,2232578,2357472,345.1046875
0x8aaece100580b749a20f8ce30338c4e0770b65ed,4,2.4804634681052e+16,6201158670263000.0,365024.0,91256.0,33411691.0,8352922.75,8178502,2,1218.7646064814815
0x8be38ea2b22b706aef313c2de81f7d179024dd30,30,4.708679183419172e+17,1.5695597278063906e+16,2572440.0,85748.0,279470034.0,9315667.8,6401284,27,953.9799537037037
0x8d900f213db5205c529aaba5d10e71a0ed2646db,11,5.229532096e+17,4.754120087272727e+16,2033000.0,184818.18181818182,71088685.0,6462607.7272727275,133423,6238129,20.451157407407408
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,23323684.0,7774561.333333333,15676,1,2.4069791666666664
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,4,2.038512e+16,5096280000000000.0,511801.0,127950.25,17589846.0,4397461.5,101,2,0.01556712962962963
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,597,4.403052884326061e+20,7.375297963695244e+17,97836304.0,163879.90619765493,6106063395.0,10227911.88442211,2750118,2110285,426.4949537037037
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,2,3.34585729e+16,1.672928645e+16,188777.0,94388.5,15133413.0,7566706.5,19715,0,3.0267824074074072
0x9a363adc5d382c04d36b09158286328f75672098,9,7.977171845e+16,8863524272222222.0,2940457.0,326717.44444444444,32443390.0,3604821.111111111,2952343,5,465.1229398148148
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,3,3.0817452569791656e+16,1.0272484189930552e+16,356554.0,118851.33333333333,25526431.0,8508810.333333334,62,1,0.008101851851851851
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,51,1.4099932726016707e+19,2.764692691375825e+17,6122450.0,120048.03921568628,336552785.0,6599074.215686275,18614276,3190026,2862.0945023148147
0x9e6ec4e98793970a1307262ba68d37594e58cd78,41,0.0,0.0,43319273.0,1056567.6341463414,325173372.0,7931057.853658536,318852,80,49.24409722222222
0xa7e94d933eb0c439dda357f61244a485246e97b8,2,4.4e+17,2.2e+17,563947.0,281973.5,10991105.0,5495552.5,42278,2,6.591435185185185
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,441,1.5411348745265577e+22,3.494636903688341e+19,116446501.0,264051.022675737,4370495843.0,9910421.412698412,14711965,432,2283.107349537037
0xa98dc64bb42575efec7d1e4560c029231ce5da51,8,7.719278e+16,9649097500000000.0,1973975.0,246746.875,46657933.0,5832241.625,5113077,2217070,798.9468402777778
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,6,2.54654927e+16,4244248783333333.5,780578.0,130096.33333333333,37701643.0,6283607.166666667,6451,4,0.9946527777777778
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,4,2.1919226620197496e+16,5479806655049374.0,537710.0,134427.5,28724444.0,7181111.0,3418521,2,530.0110532407407
0xb57297c5d02def954794e593db93d0a302e43e5c,9,6.1921435e+16,6880159444444444.0,677308.0,75256.44444444444,56888330.0,6320925.555555556,1799331,1622386,277.93966435185183
0xbd4a00764217c13a246f86db58d74541a0c3972a,248,3.13969536010002e+22,1.2660061935887178e+20,56144209.0,226387.93951612903,1960137295.0,7903779.41532258,15506017,238,2306.2066435185184
0xc179d55f7e00e789915760f7d260a1bf6285278b,8,1.67225858e+17,2.090323225e+16,1048115.0,131014.375,57681462.0,7210182.75,22818,5,3.516388888888889
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,60,2.1365084066982285e+19,3.5608473444970477e+17,5039683.0,83994.71666666666,366425356.0,6107089.266666667,3214837,9814663,499.62416666666667
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,133,5.871642545995206e+19,4.414768831575341e+17,17304706.0,130110.57142857143,952744694.0,7163493.939849624,1979481,100,304.7073032407407
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,4,2.35726931e+16,5893173275000000.0,511801.0,127950.25,23595338.0,5898834.5,88762,2,13.636793981481482
0xcf0033bf27804640e5339e06443e208db5870dd2,4,2.907615e+16,7269037500000000.0,365024.0,91256.0,22805812.0,5701453.0,5745,2,0.8853240740740741
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,5,2.13198e+16,4263960000000000.0,386024.0,77204.8,31826115.0,6365223.0,210,3,0.03521990740740741
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,4,3.30207557e+16,8255188925000000.0,365024.0,91256.0,18514144.0,4628536.0,40292,2,6.1728125
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,5,2.43271905e+16,4865438100000000.0,879578.0,175915.6,46272948.0,9254589.6,429,3,0.0687962962962963
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,6,5.7000605e+16,9500100833333334.0,335360.0,55893.333333333336,43895437.0,7315906.166666667,200651,2,30.801828703703702
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,102,5.444788990054343e+18,5.338028421621905e+16,19205203.0,188286.30392156861,505894201.0,4959747.068627451,12393927,2999566,1960.2441203703704
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,23755913.0,7918637.666666667,39,1,0.00738425925925926
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,11,1.730543812e+17,1.5732216472727272e+16,1032968.0,93906.18181818182,90161485.0,8196498.636363637,960389,290013,147.7464699074074
0xebb8629e8a3ec86cf90cb7600264415640834483,7,9.67108544806151e+16,1.3815836354373586e+16,631792.0,90256.0,114328684.0,16332669.142857144,3188930,4523390,480.7999884259259
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,3,7760666000000000.0,2586888666666666.5,230877.0,76959.0,36892766.0,12297588.666666666,5082154,42564,794.5903125
0xf10fd8921019615a856c1e95c7cd3632de34edc4,63,6.152284646530475e+18,9.765531184969008e+16,18240590.0,289533.1746031746,506887276.0,8045829.777777778,10319260,1881060,1534.059537037037
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,428,1.5850710595240355e+21,3.7034370549626993e+18,68363633.0,159728.11448598132,4538457833.0,10603873.441588785,11615494,8831401,1700.6502893518518
0xf54f36bca969800fd7d63a68029561309938c09b,3,1.6e+16,5333333333333333.0,344024.0,114674.66666666667,23660330.0,7886776.666666667,43,1,0.007210648148148148
0xf60304b534f74977e159b2e159e135475c245526,10,0.0,0.0,8195446.0,819544.6,17090341.0,1709034.1,288203,2867,44.358391203703704
0xf67e8e5805835465f7eba988259db882ab726800,3,1.6e+16,5333333333333333.0,344024.0,114674.66666666667,11146203.0,3715401.0,46082,1,7.0886458333333335
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,26761221.0,8920407.0,21,1,0.0028125
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,3,4.0100389e+17,1.3366796333333333e+17,65293.0,21764.333333333332,14524517.0,4841505.666666667,4331,4734675,0.6628356481481481
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,3,1.86e+16,6200000000000000.0,344024.0,114674.66666666667,24354109.0,8118036.333333333,1872,1,0.28866898148148146
